                  epoch,         train/pos_loss,        train/conf_loss,         train/iou_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/pos_loss,          val/conf_loss,           val/iou_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.6181,                 8.2738,                 34.041,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005149,               0.005149,               0.005149
                    100,                  1.617,                 8.4086,                 33.908,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.6159,                 8.0399,                 33.354,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                    102,                 1.6128,                 7.5408,                 33.359,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.6096,                 7.2181,                 33.043,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004951,               0.004951,               0.004951
                    104,                 1.6072,                 7.9134,                  32.64,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.6053,                 6.6775,                 32.635,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004852,               0.004852,               0.004852
                    106,                 1.6034,                 6.8554,                 32.182,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.6016,                 6.5038,                 32.118,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004753,               0.004753,               0.004753
                    108,                 1.6007,                 6.1181,                 32.003,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.5981,                 6.6392,                 31.706,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004654,               0.004654,               0.004654
                    110,                 1.5957,                  6.437,                  31.22,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.5944,                 6.1022,                 30.954,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004555,               0.004555,               0.004555
                    112,                 1.5937,                 5.6401,                 30.875,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.5909,                 5.5269,                 30.859,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004456,               0.004456,               0.004456
                    114,                 1.5878,                 5.6375,                 30.904,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.5871,                 4.9967,                 30.414,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004357,               0.004357,               0.004357
                    116,                 1.5846,                 5.2836,                 29.986,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.5837,                 5.1969,                 29.622,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004258,               0.004258,               0.004258
                    118,                 1.5811,                 5.2992,                 29.231,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.5782,                 4.5602,                 29.102,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004159,               0.004159,               0.004159
                    120,                 1.5776,                 4.6635,                   28.8,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.5758,                  4.739,                 28.542,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                    122,                 1.5751,                 3.7631,                 28.288,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.5736,                  4.164,                 28.277,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003961,               0.003961,               0.003961
                    124,                 1.5712,                 3.6433,                 27.949,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.5699,                 3.7237,                 27.644,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003862,               0.003862,               0.003862
                    126,                 1.5691,                 4.2691,                 27.529,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0038125,              0.0038125,              0.0038125
                    127,                  1.568,                 3.9552,                 27.183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003763,               0.003763,               0.003763
                    128,                 1.5658,                 3.8593,                 26.877,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.5628,                 3.1054,                 26.559,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003664,               0.003664,               0.003664
                    130,                 1.5614,                 2.8952,                 26.499,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.5607,                 3.0535,                 26.254,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003565,               0.003565,               0.003565
                    132,                 1.5574,                 2.4608,                 25.912,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035155,              0.0035155,              0.0035155
                    133,                  1.556,                  2.386,                 25.773,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003466,               0.003466,               0.003466
                    134,                 1.5544,                 2.6923,                 25.432,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034165,              0.0034165,              0.0034165
                    135,                  1.553,                 2.9314,                 25.136,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003367,               0.003367,               0.003367
                    136,                 1.5512,                 2.4329,                 24.798,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.5506,                 2.5054,                 24.712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003268,               0.003268,               0.003268
                    138,                 1.5483,                 2.3714,                 24.298,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.5478,                 1.7245,                 24.067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003169,               0.003169,               0.003169
                    140,                 1.5457,                 1.6867,                 23.744,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.5447,                 1.0959,                 23.497,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                    142,                 1.5432,                 1.0778,                 23.253,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.5412,                  1.397,                 22.917,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002971,               0.002971,               0.002971
                    144,                 1.5393,                 1.1365,                 22.657,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.5378,                 1.1714,                  22.44,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002872,               0.002872,               0.002872
                    146,                 1.5364,                0.84788,                 22.134,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.5345,                0.95037,                 21.806,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002773,               0.002773,               0.002773
                    148,                 1.5331,                0.81319,                 21.461,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027235,              0.0027235,              0.0027235
                    149,                  1.531,                0.62184,                 21.093,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002674,               0.002674,               0.002674
                    150,                 1.5291,                0.68774,                 20.816,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026245,              0.0026245,              0.0026245
                    151,                  1.527,                0.45012,                 20.486,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002575,               0.002575,               0.002575
                    152,                  1.526,                0.44671,                  20.22,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.5254,                0.31366,                 19.998,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002476,               0.002476,               0.002476
                    154,                 1.5248,                 0.3018,                 19.688,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024265,              0.0024265,              0.0024265
                    155,                  1.522,                0.19885,                 19.404,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002377,               0.002377,               0.002377
                    156,                 1.5218,                0.17597,                 19.126,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.5208,                0.18929,                 18.856,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002278,               0.002278,               0.002278
                    158,                 1.5194,                0.22646,                 18.568,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.5178,                0.31242,                 18.259,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002179,               0.002179,               0.002179
                    160,                 1.5174,                0.15202,                 17.994,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021295,              0.0021295,              0.0021295
                    161,                 1.5152,                 0.1341,                 17.717,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                    162,                 1.5142,                 0.0766,                 17.439,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020305,              0.0020305,              0.0020305
                    163,                 1.5126,                0.03756,                 17.192,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001981,               0.001981,               0.001981
                    164,                 1.5121,                0.03571,                 16.937,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019315,              0.0019315,              0.0019315
                    165,                 1.5114,                0.02853,                 16.625,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001882,               0.001882,               0.001882
                    166,                 1.5114,                0.02606,                 16.398,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018325,              0.0018325,              0.0018325
                    167,                 1.5094,                0.02525,                 16.079,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001783,               0.001783,               0.001783
                    168,                  1.508,                0.02356,                 15.867,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017335,              0.0017335,              0.0017335
                    169,                 1.5082,                0.02289,                 15.604,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001684,               0.001684,               0.001684
                    170,                 1.5062,                0.02195,                 15.302,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016345,              0.0016345,              0.0016345
                    171,                 1.5058,                0.02107,                 15.103,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001585,               0.001585,               0.001585
                    172,                 1.5051,                0.02081,                 14.896,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015355,              0.0015355,              0.0015355
                    173,                 1.5042,                0.02007,                 14.629,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001486,               0.001486,               0.001486
                    174,                 1.5039,                0.01902,                 14.353,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014365,              0.0014365,              0.0014365
                    175,                 1.5031,                0.01934,                 14.155,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001387,               0.001387,               0.001387
                    176,                 1.5019,                0.01812,                 13.893,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013375,              0.0013375,              0.0013375
                    177,                 1.5014,                0.01772,                 13.649,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001288,               0.001288,               0.001288
                    178,                 1.5003,                0.01732,                 13.438,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012385,              0.0012385,              0.0012385
                    179,                 1.4995,                0.01664,                 13.182,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001189,               0.001189,               0.001189
                    180,                  1.499,                0.01655,                 12.983,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011395,              0.0011395,              0.0011395
                    181,                 1.4991,                0.01909,                 12.767,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                    182,                  1.498,                0.01642,                 12.557,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010405,              0.0010405,              0.0010405
                    183,                 1.4977,                 0.0157,                 12.322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000991,               0.000991,               0.000991
                    184,                 1.4973,                0.01548,                 12.132,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009415,              0.0009415,              0.0009415
                    185,                 1.4961,                0.01512,                 11.931,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000892,               0.000892,               0.000892
                    186,                 1.4959,                0.01463,                 11.709,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008425,              0.0008425,              0.0008425
                    187,                 1.4955,                0.01481,                 11.514,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000793,               0.000793,               0.000793
                    188,                  1.495,                0.01427,                 11.313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007435,              0.0007435,              0.0007435
                    189,                 1.4943,                0.01427,                 11.142,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000694,               0.000694,               0.000694
                    190,                 1.4941,                0.01379,                 10.966,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006445,              0.0006445,              0.0006445
                    191,                  1.494,                0.01395,                  10.76,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000595,               0.000595,               0.000595
                    192,                 1.4931,                0.01358,                 10.581,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005455,              0.0005455,              0.0005455
                    193,                 1.4928,                0.01345,                 10.425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000496,               0.000496,               0.000496
                    194,                 1.4929,                 0.0131,                  10.27,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004465,              0.0004465,              0.0004465
                    195,                 1.4924,                0.01299,                 10.107,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000397,               0.000397,               0.000397
                    196,                 1.4918,                0.01304,                 9.9662,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003475,              0.0003475,              0.0003475
                    197,                 1.4915,                0.01299,                 9.8051,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000298,               0.000298,               0.000298
                    198,                 1.4918,                 0.0129,                  9.684,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002485,              0.0002485,              0.0002485
                    199,                 1.4908,                 0.0127,                 9.5611,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9567,                    inf,                     10,               0.000199,               0.000199,               0.000199
