                  epoch,         train/pos_loss,        train/conf_loss,        train/dxdy_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/pos_loss,          val/conf_loss,          val/dxdy_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 8.3868,                 42.383,                 222.59,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033305,              0.0033305,              0.0033305
                      1,                 8.2986,                 25.061,                 1.7258,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066309,              0.0066309,              0.0066309
                      2,                 8.2711,                 23.743,                 3.2435,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098982,              0.0098982,              0.0098982
                      3,                 8.0944,                 22.223,                 4.4131,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      4,                 7.1105,                  16.84,                 4.0881,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 6.2179,                 9.5711,                 3.1853,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 5.5702,                 6.9243,                 3.1275,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 5.1252,                  5.537,                 3.1423,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                 4.8202,                 4.5813,                 3.0917,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                  4.603,                 3.9217,                 3.0276,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                 4.4345,                 3.4853,                 2.9763,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0095545,              0.0095545,              0.0095545
                     11,                 4.2771,                 3.0436,                 2.9291,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009505,               0.009505,               0.009505
                     12,                 4.1561,                 2.7546,                 2.9141,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0094555,              0.0094555,              0.0094555
                     13,                 4.0305,                 2.4574,                 2.8634,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                     14,                 3.9286,                 2.2865,                 2.8343,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0093565,              0.0093565,              0.0093565
                     15,                   3.82,                  2.066,                 2.7916,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009307,               0.009307,               0.009307
                     16,                 3.7818,                 2.1532,                 2.7118,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0092575,              0.0092575,              0.0092575
                     17,                 3.6831,                 1.9452,                 2.7277,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009208,               0.009208,               0.009208
                     18,                 3.5926,                 1.7658,                  2.688,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0091585,              0.0091585,              0.0091585
                     19,                 3.5045,                 1.6545,                 2.6712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009109,               0.009109,               0.009109
                     20,                 3.4321,                 1.6031,                 2.6476,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0090595,              0.0090595,              0.0090595
                     21,                 3.3831,                 1.5561,                 2.6272,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                     22,                  3.303,                 1.4317,                 2.5929,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0089605,              0.0089605,              0.0089605
                     23,                 3.2479,                 1.3546,                 2.5543,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008911,               0.008911,               0.008911
                     24,                 3.1831,                 1.2961,                 2.5351,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0088615,              0.0088615,              0.0088615
                     25,                 3.1397,                 1.2688,                  2.508,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
                     26,                 3.0974,                 1.2221,                 2.4802,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0087625,              0.0087625,              0.0087625
                     27,                 3.0493,                 1.1927,                 2.4581,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008713,               0.008713,               0.008713
                     28,                 3.0003,                 1.1059,                   2.43,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0086635,              0.0086635,              0.0086635
                     29,                 3.0238,                 1.2609,                 2.3862,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008614,               0.008614,               0.008614
                     30,                 2.9674,                 1.1445,                  2.385,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0085645,              0.0085645,              0.0085645
                     31,                 2.9302,                 1.1127,                  2.332,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008515,               0.008515,               0.008515
                     32,                 2.8941,                 1.0447,                 2.3208,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0084655,              0.0084655,              0.0084655
                     33,                 2.8528,                0.97899,                 2.3144,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     34,                 2.8381,                      1,                 2.2737,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0083665,              0.0083665,              0.0083665
                     35,                  2.811,                0.95893,                 2.2459,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008317,               0.008317,               0.008317
                     36,                 2.7854,                  0.921,                  2.236,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082675,              0.0082675,              0.0082675
                     37,                 2.8061,                 1.0135,                 2.1802,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008218,               0.008218,               0.008218
                     38,                 2.7423,                0.89724,                  2.169,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0081685,              0.0081685,              0.0081685
                     39,                 2.7293,                0.90333,                 2.1376,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008119,               0.008119,               0.008119
                     40,                 2.7017,                0.84478,                 2.1412,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0080695,              0.0080695,              0.0080695
                     41,                 2.6994,                0.86083,                 2.0979,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                     42,                  2.686,                0.83494,                 2.0653,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0079705,              0.0079705,              0.0079705
                     43,                 2.6921,                0.85886,                 2.0402,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007921,               0.007921,               0.007921
                     44,                 2.6534,                0.78399,                 2.0281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0078715,              0.0078715,              0.0078715
                     45,                 2.6878,                0.88381,                 1.9713,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007822,               0.007822,               0.007822
                     46,                 2.6399,                0.79495,                 1.9857,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0077725,              0.0077725,              0.0077725
                     47,                 2.6589,                0.82715,                 1.9582,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007723,               0.007723,               0.007723
                     48,                 2.6225,                 0.7803,                 1.9263,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0076735,              0.0076735,              0.0076735
                     49,                 2.6166,                0.78342,                 1.8786,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007624,               0.007624,               0.007624
                     50,                 2.6122,                0.78975,                 1.8753,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0075745,              0.0075745,              0.0075745
                     51,                 2.5689,                0.68788,                 1.8706,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007525,               0.007525,               0.007525
                     52,                 2.5835,                0.76674,                 1.8255,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0074755,              0.0074755,              0.0074755
                     53,                 2.5928,                0.76958,                 1.7758,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007426,               0.007426,               0.007426
                     54,                 2.5892,                0.77928,                 1.7778,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0073765,              0.0073765,              0.0073765
                     55,                 2.5628,                0.70624,                 1.7661,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007327,               0.007327,               0.007327
                     56,                  2.542,                0.70521,                 1.7422,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0072775,              0.0072775,              0.0072775
                     57,                 2.5388,                0.68702,                 1.7223,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
                     58,                 2.5514,                0.70896,                 1.6907,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0071785,              0.0071785,              0.0071785
                     59,                 2.5235,                0.68666,                 1.6579,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007129,               0.007129,               0.007129
                     60,                 2.5122,                0.67135,                 1.6247,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0070795,              0.0070795,              0.0070795
                     61,                 2.5295,                 0.7121,                 1.6205,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     62,                 2.5086,                0.65737,                 1.6028,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0069805,              0.0069805,              0.0069805
                     63,                 2.5677,                0.74653,                 1.5545,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006931,               0.006931,               0.006931
                     64,                 2.4797,                0.63078,                 1.5527,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0068815,              0.0068815,              0.0068815
                     65,                 2.4862,                0.62065,                 1.5693,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006832,               0.006832,               0.006832
                     66,                 2.4403,                0.56755,                 1.5325,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0067825,              0.0067825,              0.0067825
                     67,                 2.4517,                0.60284,                 1.4958,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006733,               0.006733,               0.006733
                     68,                  2.465,                0.62278,                 1.4682,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066835,              0.0066835,              0.0066835
                     69,                 2.4491,                0.57545,                 1.4657,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006634,               0.006634,               0.006634
                     70,                 2.4669,                0.63434,                 1.4216,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065845,              0.0065845,              0.0065845
                     71,                 2.4373,                0.56611,                 1.4253,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006535,               0.006535,               0.006535
                     72,                 2.4444,                0.59608,                 1.3733,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0064855,              0.0064855,              0.0064855
                     73,                 2.4383,                0.60647,                 1.3564,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006436,               0.006436,               0.006436
                     74,                  2.433,                 0.5775,                 1.3425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0063865,              0.0063865,              0.0063865
                     75,                 2.4415,                0.60443,                 1.3087,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006337,               0.006337,               0.006337
                     76,                 2.4387,                0.58581,                 1.2919,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062875,              0.0062875,              0.0062875
                     77,                 2.4463,                0.61585,                 1.2786,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006238,               0.006238,               0.006238
                     78,                 2.4092,                0.55356,                 1.2707,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061885,              0.0061885,              0.0061885
                     79,                 2.4198,                 0.5428,                 1.2523,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006139,               0.006139,               0.006139
                     80,                 2.3873,                0.49302,                 1.2398,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060895,              0.0060895,              0.0060895
                     81,                 2.4415,                0.62214,                  1.185,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     82,                 2.4066,                0.54187,                  1.195,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0059905,              0.0059905,              0.0059905
                     83,                 2.4006,                0.53357,                 1.1776,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005941,               0.005941,               0.005941
                     84,                 2.3836,                0.50109,                 1.1569,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0058915,              0.0058915,              0.0058915
                     85,                   2.37,                0.48961,                 1.1379,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005842,               0.005842,               0.005842
                     86,                 2.3588,                0.49323,                 1.1045,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057925,              0.0057925,              0.0057925
                     87,                 2.4342,                0.59017,                 1.0658,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005743,               0.005743,               0.005743
                     88,                 2.3697,                0.48497,                 1.0886,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0056935,              0.0056935,              0.0056935
                     89,                 2.3658,                0.46386,                 1.0715,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005644,               0.005644,               0.005644
                     90,                 2.3268,                 0.4423,                 1.0504,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055945,              0.0055945,              0.0055945
                     91,                 2.3329,                0.46635,                 1.0248,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005545,               0.005545,               0.005545
                     92,                 2.3702,                 0.5061,                0.98434,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054955,              0.0054955,              0.0054955
                     93,                 2.3266,                0.43578,                0.99821,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005446,               0.005446,               0.005446
                     94,                 2.3353,                0.43483,                0.97711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0053965,              0.0053965,              0.0053965
                     95,                 2.3071,                0.42611,                0.95612,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005347,               0.005347,               0.005347
                     96,                 2.3473,                 0.4885,                 0.9261,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052975,              0.0052975,              0.0052975
                     97,                  2.392,                0.51692,                0.90736,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005248,               0.005248,               0.005248
