                  epoch,         train/pos_loss,        train/conf_loss,         train/hit_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/pos_loss,          val/conf_loss,           val/hit_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   1039,                  65256,                  24629,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033305,              0.0033305,              0.0033305
                      1,                 413.45,                 6352.5,                 508.69,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066309,              0.0066309,              0.0066309
                      2,                 333.63,                 5037.5,                 40.786,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098982,              0.0098982,              0.0098982
                      3,                  295.8,                 3856.8,                 8.1083,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      4,                 252.33,                 2473.9,                 2.4252,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 222.94,                 1957.4,                 1.1841,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 201.27,                 1922.8,                0.73467,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 181.98,                 1666.8,                0.52208,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                 162.81,                 1282.2,                 0.4103,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                 150.63,                 1188.5,                0.33291,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                 131.74,                 1026.2,                0.28579,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0095545,              0.0095545,              0.0095545
                     11,                 119.34,                 953.94,                0.25009,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009505,               0.009505,               0.009505
                     12,                 112.87,                 991.62,                0.22368,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0094555,              0.0094555,              0.0094555
                     13,                 105.19,                 859.61,                0.20217,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                     14,                  98.33,                  695.2,                0.17991,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0093565,              0.0093565,              0.0093565
                     15,                 92.191,                 647.16,                 0.1611,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009307,               0.009307,               0.009307
                     16,                 88.812,                 617.69,                0.15291,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0092575,              0.0092575,              0.0092575
                     17,                 83.335,                 583.47,                0.13564,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009208,               0.009208,               0.009208
                     18,                 79.843,                 542.65,                0.12633,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0091585,              0.0091585,              0.0091585
                     19,                 76.078,                 519.31,                0.11586,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009109,               0.009109,               0.009109
                     20,                 74.986,                 490.96,                0.10747,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0090595,              0.0090595,              0.0090595
                     21,                  69.61,                 480.82,                0.10224,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                     22,                 67.952,                 458.06,                0.09473,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0089605,              0.0089605,              0.0089605
                     23,                 66.324,                 419.99,                0.08988,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008911,               0.008911,               0.008911
                     24,                 64.545,                 480.16,                0.08799,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0088615,              0.0088615,              0.0088615
                     25,                 62.834,                 370.84,                0.08313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
                     26,                 61.134,                 382.48,                0.07957,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0087625,              0.0087625,              0.0087625
                     27,                 58.964,                 374.55,                0.07689,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008713,               0.008713,               0.008713
                     28,                   57.4,                  375.9,                0.07662,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0086635,              0.0086635,              0.0086635
                     29,                 56.465,                 384.73,                0.07242,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008614,               0.008614,               0.008614
                     30,                 54.692,                 361.02,                0.07051,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0085645,              0.0085645,              0.0085645
                     31,                 53.207,                 340.37,                0.06964,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008515,               0.008515,               0.008515
                     32,                 52.485,                 319.48,                0.06752,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0084655,              0.0084655,              0.0084655
                     33,                 50.811,                  354.8,                0.06634,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     34,                 50.472,                 312.33,                0.06442,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0083665,              0.0083665,              0.0083665
                     35,                 48.115,                 279.37,                0.06357,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008317,               0.008317,               0.008317
                     36,                 46.673,                 292.83,                0.06118,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082675,              0.0082675,              0.0082675
                     37,                 46.689,                 280.88,                0.06004,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008218,               0.008218,               0.008218
                     38,                 46.522,                 292.88,                0.05961,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0081685,              0.0081685,              0.0081685
                     39,                 45.579,                 283.43,                0.05849,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008119,               0.008119,               0.008119
                     40,                 44.312,                 285.85,                0.05827,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0080695,              0.0080695,              0.0080695
                     41,                 44.544,                 268.63,                0.05555,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                     42,                  42.96,                 262.16,                0.05425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0079705,              0.0079705,              0.0079705
                     43,                 43.312,                 278.99,                0.05342,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007921,               0.007921,               0.007921
                     44,                 41.909,                 285.14,                0.05239,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0078715,              0.0078715,              0.0078715
                     45,                  41.02,                 235.29,                0.05088,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007822,               0.007822,               0.007822
                     46,                 41.606,                 273.93,                0.05017,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0077725,              0.0077725,              0.0077725
                     47,                 40.298,                 229.22,                0.05044,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007723,               0.007723,               0.007723
                     48,                 39.693,                 225.11,                0.05029,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0076735,              0.0076735,              0.0076735
                     49,                 39.074,                 217.84,                0.05073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007624,               0.007624,               0.007624
                     50,                 38.697,                  235.6,                0.05074,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0075745,              0.0075745,              0.0075745
                     51,                  38.69,                 226.35,                0.05082,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007525,               0.007525,               0.007525
                     52,                 38.095,                 231.09,                 0.0506,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0074755,              0.0074755,              0.0074755
                     53,                 38.052,                 234.23,                0.05039,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007426,               0.007426,               0.007426
                     54,                 38.064,                 218.73,                 0.0492,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0073765,              0.0073765,              0.0073765
                     55,                 36.824,                 203.52,                0.04795,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007327,               0.007327,               0.007327
                     56,                 36.366,                 199.55,                0.04662,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0072775,              0.0072775,              0.0072775
                     57,                 36.065,                 211.55,                0.04489,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
                     58,                 35.458,                 186.08,                0.04338,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0071785,              0.0071785,              0.0071785
                     59,                 34.918,                 224.56,                0.04225,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007129,               0.007129,               0.007129
                     60,                 34.867,                 211.35,                0.04231,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0070795,              0.0070795,              0.0070795
                     61,                 34.672,                 213.54,                0.04345,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     62,                 34.309,                 170.42,                0.04434,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0069805,              0.0069805,              0.0069805
                     63,                 33.816,                 186.26,                0.04444,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006931,               0.006931,               0.006931
                     64,                 33.552,                 169.08,                0.04513,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0068815,              0.0068815,              0.0068815
                     65,                 33.154,                 188.75,                0.04537,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006832,               0.006832,               0.006832
                     66,                 33.666,                 200.02,                0.04459,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0067825,              0.0067825,              0.0067825
                     67,                  32.61,                 174.49,                0.04262,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006733,               0.006733,               0.006733
                     68,                 32.424,                 164.21,                0.04101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066835,              0.0066835,              0.0066835
                     69,                 32.765,                  164.9,                0.03997,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006634,               0.006634,               0.006634
                     70,                 32.184,                 188.14,                0.03965,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065845,              0.0065845,              0.0065845
                     71,                 31.798,                 167.13,                0.03905,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006535,               0.006535,               0.006535
                     72,                 31.654,                    191,                0.03785,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0064855,              0.0064855,              0.0064855
                     73,                 31.494,                 161.67,                0.03941,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006436,               0.006436,               0.006436
                     74,                 31.285,                  182.9,                0.03985,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0063865,              0.0063865,              0.0063865
                     75,                 30.753,                 159.36,                0.04115,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006337,               0.006337,               0.006337
                     76,                 30.224,                 157.67,                0.04177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062875,              0.0062875,              0.0062875
                     77,                 30.721,                 162.09,                0.04238,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006238,               0.006238,               0.006238
                     78,                 30.353,                 146.59,                0.04272,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061885,              0.0061885,              0.0061885
                     79,                 29.304,                 152.27,                0.04257,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006139,               0.006139,               0.006139
                     80,                 29.857,                 169.91,                0.04273,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060895,              0.0060895,              0.0060895
                     81,                  29.27,                 157.97,                 0.0431,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     82,                 29.393,                 160.22,                0.04305,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0059905,              0.0059905,              0.0059905
                     83,                 29.071,                 155.91,                0.04341,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005941,               0.005941,               0.005941
                     84,                  29.22,                 151.98,                0.04403,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0058915,              0.0058915,              0.0058915
                     85,                   28.6,                 139.16,                0.04334,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005842,               0.005842,               0.005842
                     86,                 28.363,                  152.3,                0.04252,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057925,              0.0057925,              0.0057925
                     87,                 27.906,                  168.8,                0.04262,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005743,               0.005743,               0.005743
                     88,                 27.785,                 154.28,                0.04304,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0056935,              0.0056935,              0.0056935
                     89,                 27.859,                 156.67,                0.04299,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005644,               0.005644,               0.005644
                     90,                 27.904,                  162.8,                0.04298,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055945,              0.0055945,              0.0055945
                     91,                 27.328,                  141.1,                0.04296,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005545,               0.005545,               0.005545
                     92,                 26.964,                 137.18,                0.04277,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054955,              0.0054955,              0.0054955
                     93,                 26.653,                 124.97,                0.04274,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005446,               0.005446,               0.005446
                     94,                 27.012,                    179,                0.04223,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0053965,              0.0053965,              0.0053965
                     95,                 26.597,                 132.84,                0.04225,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005347,               0.005347,               0.005347
                     96,                  26.63,                 138.13,                0.04153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052975,              0.0052975,              0.0052975
                     97,                 26.151,                 127.42,                0.04128,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005248,               0.005248,               0.005248
                     98,                 26.463,                 133.13,                 0.0412,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0051985,              0.0051985,              0.0051985
